,S,K,T,ANN_price
102518,19632.55,19450.0,29,418.32
103058,19543.1,20800.0,14,3.84
83729,19389.0,18000.0,541,3133.66
110658,19306.05,18650.0,31,834.24
96904,19753.8,18200.0,3,1536.88
173914,21778.7,20950.0,0,861.3
143699,19133.25,18900.0,14,385.75
81423,18972.1,22000.0,92,10.29
139547,18857.25,20700.0,0,0.04
83790,19398.5,19700.0,1,11.62
83493,19389.0,18400.0,58,1216.16
77090,18816.7,18850.0,30,272.63
155187,19889.7,19200.0,2,739.28
129277,19545.75,20400.0,0,3.28
122307,19742.35,20100.0,70,325.47
82715,19322.55,19050.0,59,623.42
112418,19253.8,18250.0,7,1063.12
129848,19545.75,21600.0,56,10.51
158792,20686.8,20550.0,17,342.92
81922,19189.05,19000.0,34,444.9
88440,19413.75,18400.0,0,1014.03
165833,20926.35,23000.0,379,690.53
113311,19435.3,21400.0,27,3.61
131018,19512.35,19600.0,17,182.53
146356,19406.7,24000.0,142,13.47
137792,19542.65,18900.0,69,1003.6
76170,18755.45,16000.0,10,2793.72
101604,19570.85,20700.0,16,6.07
108865,19444.0,17500.0,127,2373.67
95519,19659.9,18100.0,7,1604.13
159866,20855.1,20350.0,2,568.74
129844,19545.75,21400.0,56,12.61
174686,21778.7,23000.0,63,66.53
148281,19425.35,20950.0,27,6.32
113445,19435.3,21250.0,55,12.29
109122,19386.7,21500.0,7,0.86
171371,21349.4,21350.0,6,161.4
162079,20901.15,20750.0,21,381.72
82461,19322.55,20300.0,17,7.03
96924,19753.8,19400.0,3,394.51
166662,21182.7,20000.0,77,1517.53
125858,19523.55,20050.0,28,68.0
98148,19733.55,20150.0,58,231.56
158161,20267.9,20500.0,90,456.82
171568,21349.4,22200.0,13,12.61
140776,19047.25,20100.0,34,24.81
74266,18755.9,19800.0,8,3.23
169624,21150.15,21050.0,8,288.26
100450,19517.0,19450.0,55,479.25
77084,18816.7,18500.0,30,523.95
160883,20937.7,20350.0,8,683.14
160033,20855.1,21600.0,9,10.22
133505,19794.0,18900.0,49,1131.82
132519,19811.35,21550.0,15,2.69
103976,19428.3,20400.0,48,59.38
84556,19398.5,20000.0,540,1822.94
153038,19811.85,20100.0,1,17.58
144849,19230.6,18000.0,83,1564.98
85703,19331.8,17850.0,20,1564.63
93335,19745.0,19100.0,20,801.68
155776,19889.7,19450.0,58,777.3
79904,18691.2,18750.0,66,427.24
114858,19611.05,20800.0,1,1.16
90347,19711.45,20000.0,31,164.6
82043,19189.05,18400.0,90,1205.15
167802,21418.65,18600.0,10,2886.0
117608,19993.2,21050.0,9,4.15
77277,18816.7,20000.0,100,120.35
121682,19742.35,19600.0,0,230.55
173430,21654.75,21150.0,22,702.24
129727,19545.75,19200.0,28,558.88
83105,19389.0,19150.0,9,320.96
106298,19365.25,20000.0,497,1698.11
166977,21456.65,20150.0,13,1390.43
163630,20997.1,20200.0,17,913.77
119408,20103.1,19950.0,42,462.48
84623,19497.3,19400.0,0,144.08
86193,19355.9,18000.0,3,1367.48
