,S,K,T,LSTM_price
467,19386.7,20600.0,7.0,7.72
468,19265.8,21200.0,34.0,6.74
469,19680.6,20300.0,37.0,100.01
470,18755.9,19400.0,22.0,30.07
471,19901.4,20850.0,1.0,8.16
472,20133.3,21650.0,10.0,7.03
473,20133.3,18400.0,10.0,1726.01
474,21441.35,21200.0,16.0,489.17
475,21731.4,20450.0,27.0,1385.95
476,19395.3,21000.0,0.0,6.74
477,20133.15,19050.0,7.0,1071.51
478,21731.4,21050.0,13.0,780.01
479,19443.5,20700.0,8.0,7.75
480,19749.25,19550.0,2.0,210.16
481,19611.05,20550.0,8.0,8.47
482,20937.7,21700.0,15.0,19.73
483,19611.05,18300.0,1.0,1269.91
484,19189.05,18950.0,13.0,321.43
485,19545.75,19800.0,14.0,73.61
486,19425.35,18700.0,48.0,924.23
487,18972.1,18500.0,183.0,1283.82
488,19517.0,19000.0,83.0,889.69
489,19122.15,17800.0,36.0,1409.19
490,20686.8,21000.0,24.0,141.09
491,21418.65,20350.0,17.0,1087.8
492,19443.55,19600.0,31.0,212.23
493,19993.2,20150.0,9.0,89.01
494,19778.3,19200.0,36.0,729.98
495,20906.4,21450.0,30.0,131.21
496,19443.5,19450.0,8.0,157.47
497,18688.1,18200.0,0.0,476.37
498,20855.1,20750.0,23.0,334.58
499,18989.15,20000.0,1.0,8.12
500,19425.35,18500.0,6.0,909.32
501,19528.75,19550.0,58.0,392.79
502,20855.1,22200.0,16.0,7.65
503,21456.65,22100.0,13.0,65.65
504,19901.4,17000.0,99.0,3195.61
505,20103.1,19500.0,77.0,982.16
506,19523.55,21550.0,0.0,6.74
507,19047.25,21300.0,34.0,6.74
508,21778.7,21950.0,21.0,272.2
509,19444.0,18500.0,22.0,991.1
510,19465.0,19300.0,29.0,377.11
511,19671.1,21000.0,253.0,580.12
512,20133.15,20600.0,35.0,129.79
513,19675.45,19000.0,71.0,954.22
514,19306.05,16800.0,3.0,2470.64
515,19543.1,19600.0,77.0,492.8
516,19733.55,21400.0,2.0,6.74
517,19749.25,19600.0,2.0,181.29
518,21456.65,21950.0,34.0,186.52
519,19398.5,19350.0,22.0,254.51
520,19526.55,20900.0,8.0,7.23
521,19674.25,22000.0,188.00000000000003,155.78
522,19528.75,21000.0,9.0,6.99
523,19425.35,19450.0,27.0,250.18
524,18826.0,16900.0,13.0,1904.02
525,19819.95,21000.0,111.0,184.17
526,19570.85,20400.0,23.0,9.02
527,18665.5,19450.0,13.0,9.04
528,19281.75,20550.0,38.0,8.14
529,21778.7,22550.0,28.0,110.71
530,19122.15,21300.0,36.0,6.74
531,19265.8,22000.0,34.0,6.74
532,19783.4,20800.0,37.0,8.95
533,18665.5,18500.0,13.0,297.83
534,19497.3,21000.0,539.0,1231.29
535,20855.1,21100.0,16.0,133.67
536,21255.05,22150.0,70.0,215.14
537,19230.6,18800.0,20.0,512.03
538,20901.15,21300.0,28.0,164.06
539,20926.35,21550.0,22.0,72.65
540,21456.65,20600.0,6.0,876.75
541,19574.9,20900.0,30.0,7.97
542,19811.35,21500.0,1.0,6.74
543,19819.95,18600.0,20.0,1265.27
544,19523.55,21150.0,0.0,6.74
545,19574.9,20800.0,9.0,7.74
546,21441.35,21450.0,37.0,461.79
547,19230.6,21100.0,13.0,6.74
548,19523.55,19150.0,7.0,371.36
549,19570.85,21100.0,9.0,6.96
550,19674.25,19400.0,34.0,488.94
551,19443.55,21000.0,24.0,7.34
552,19365.25,21000.0,0.0,6.74
553,19411.75,20100.0,80.0,209.23
554,18755.45,18950.0,24.0,152.01
555,18755.45,19500.0,38.0,64.73
556,19542.65,21050.0,6.0,6.99
557,21349.4,21350.0,20.0,343.77
558,19322.55,19900.0,24.0,43.57
559,19047.25,18700.0,6.0,297.41
560,19646.05,20900.0,6.0,7.59
561,19230.6,19450.0,55.00000000000001,292.08
562,19611.05,19800.0,29.0,181.04
563,21150.15,21650.0,15.0,114.71
564,19428.3,19200.0,48.0,547.3
565,19597.3,19400.0,52.0,532.38
566,20192.35,19200.0,40.99999999999999,1151.56
567,19386.7,18900.0,0.0,469.48
568,21255.05,22000.0,280.0,1069.52
569,19672.35,21400.0,3.0,6.74
570,19355.9,20100.0,52.0,107.64
571,19597.3,19200.0,52.0,679.22
572,19542.65,19550.0,27.0,257.37
573,19742.35,21200.0,14.0,7.21
574,19389.0,19400.0,30.0,263.61
575,21456.65,21400.0,76.0,695.4
576,19281.75,21050.0,17.0,6.74
577,19671.1,18700.0,1.0,941.54
578,19528.8,21000.0,479.0,1086.17
579,19347.45,19000.0,29.0,514.2
580,20997.1,21950.0,44.99999999999999,97.79
581,20937.7,24000.0,113.0,7.24
582,19428.3,24000.0,48.0,7.15
583,19434.55,18700.0,17.0,756.7
584,19694.0,21100.0,3.0,7.23
585,19794.7,21200.0,34.0,8.04
586,19079.6,18150.0,30.0,986.79
587,19523.55,23000.0,182.0,7.36
588,19406.7,19200.0,9.0,268.27
