,Index,Open Index Value,High Index Value,Low Index Value,Close,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP,rt,rt2,sigma2,sigma3,sigma5,sigma20,sigma60,sigma110
19164,Nifty 50,19682.8,19699.35,19637.45,19664.7,-9.85,-.05,204869058,18118.19,22.21,4.35,1.37,2023-09-26,-0.05,0.0025000000000000005,0.5612486080153476,2.9141722666994414,7.879418760289378,8.296393953494423,8.168771270380672,8.099872670670045
19271,Nifty 50,19637.05,19730.7,19554,19716.45,51.75,.26,203559874,19659.17,22.27,4.36,1.36,2023-09-27,0.26,0.06760000000000001,3.479741369699646,2.6420446627565193,6.412593858962233,8.31101285866181,8.066559533770546,8.102638380425017
19378,Nifty 50,19761.8,19766.65,19492.1,19523.55,-192.9,-.98,352810261,30069.78,22.05,4.31,1.38,2023-09-28,-0.98,0.9603999999999999,13.91896547879903,10.244081217952155,7.528601463751428,9.14816564874303,8.303398344521156,8.265820527378127
19485,Nifty 50,19581.2,19726.25,19551.05,19638.3,114.75,.59,243508919,20978.72,22.21,3.45,1.37,2023-09-29,0.59,0.34809999999999997,17.623206291705237,13.140730573297674,9.297502890561535,9.120588450544757,8.387048914339626,8.25220573440231
19592,Nifty 50,19622.4,19623.2,19479.65,19528.75,-109.55,-.56,221719625,21459.58,22.09,3.43,1.38,2023-10-03,-0.56,0.31360000000000005,12.908717984370064,12.902697392405981,9.985431387776902,8.836972391754513,8.407684620510343,8.310866335670092
19699,Nifty 50,19446.3,19457.8,19333.6,19436.1,-92.65,-.47,277148310,26017.47,21.98,3.41,1.38,2023-10-04,-0.47,0.22089999999999999,1.0102474944285247,10.152654825216908,10.169230059350618,8.83091054493428,8.277890421508886,8.34972288923046
19806,Nifty 50,19521.85,19576.95,19487.3,19545.75,109.65,.56,234865323,22019.04,22.11,3.43,1.37,2023-10-05,0.56,0.31360000000000005,11.561721325131444,9.878400680272092,11.249303978469076,9.028160155284885,8.351573971211069,8.348383028027174
19913,Nifty 50,19621.2,19675.75,19589.4,19653.5,107.75,.55,159051277,16096.52,22.23,3.45,1.37,2023-10-06,0.55,0.30250000000000005,0.11224972159985105,9.394615479092279,9.42135659021566,9.22322999707517,8.380450131513205,8.298827038112496
20020,Nifty 50,19539.45,19588.95,19480.5,19512.35,-141.15,-.72,165094800,15499.67,22.07,3.42,1.38,2023-10-09,-0.72,0.5184,14.25571464360869,11.685837582304497,9.999301975638106,9.305281352685231,8.495375491746247,8.365322708659637
20127,Nifty 50,19565.6,19717.8,19565.45,19689.85,177.5,.91,216559447,18735.62,22.27,3.46,1.36,2023-10-10,0.91,0.8281000000000001,18.29670462132455,13.593189471202123,11.352548612536308,9.754154418556869,8.688560568112692,8.440343818222578
20234,Nifty 50,19767,19839.2,19756.95,19811.35,121.5,.62,213729730,19900.99,22.41,3.48,1.36,2023-10-11,0.62,0.3844,3.255241926493207,13.803521289873837,10.070370400337813,9.45825604265506,8.635200408890054,8.383248852191178
20341,Nifty 50,19822.7,19843.3,19772.65,19794.0,-17.35,-.09,217904144,20999.94,22.39,3.47,1.36,2023-10-12,-0.09,0.0081,7.969730233828442,8.167276167731828,10.40634229688799,9.459016750949155,8.503456126875411,8.218666901513384
20448,Nifty 50,19654.55,19805.4,19635.3,19751.05,-42.95,-.22,254955979,24363.02,22.33,3.47,1.36,2023-10-13,-0.22,0.0484,1.4592463808415328,7.177548327945985,10.462131713948171,9.337083281760219,8.507556740622732,8.089189208549252
20555,Nifty 50,19737.25,19781.3,19691.85,19731.75,-19.3,-.1,180964341,14746.01,22.29,3.46,1.36,2023-10-16,-0.1,0.010000000000000002,1.3469966592382887,1.1483901775964993,8.04807803143086,9.294328321474785,8.464940077075244,8.092876675039461
20662,Nifty 50,19843.2,19849.75,19775.65,19811.5,79.75,.4,185846716,16839.87,22.38,3.48,1.35,2023-10-17,0.4,0.16000000000000003,5.612486080160836,5.220114941263284,5.813625374927426,9.264999673360398,8.364846357003291,8.102622816950161
20769,Nifty 50,19820.45,19840.95,19659.95,19671.1,-140.4,-.71,198942937,18581.64,21.87,3.45,1.36,2023-10-18,-0.71,0.5041,12.459719097957189,8.824760619982852,6.284581131626844,9.499816064701347,8.143236332448035,8.18491899873459
20876,Nifty 50,19545.2,19681.8,19512.35,19624.7,-46.4,-.24,230312163,23582.01,21.77,3.44,1.36,2023-10-19,-0.24,0.0576,5.275736915351167,8.844727242826663,6.293596745899769,8.700388194606147,8.122692131161145,8.197960909227627
20983,Nifty 50,19542.15,19593.8,19518.7,19542.65,-82.05,-.42,198341255,17944.31,21.68,3.43,1.38,2023-10-20,-0.42,0.17639999999999997,2.020494988857697,3.7644123047296563,6.54099075064322,8.375724132088044,8.16687696258698,8.207971877100903
21090,Nifty 50,19521.6,19556.85,19257.85,19281.75,-260.9,-1.34,176044288,16212.9,21.36,3.38,1.4,2023-10-23,-1.34,1.7956000000000003,10.326974387496032,9.366408062859529,10.122659729537503,9.509580598422552,8.537608445349422,8.416702452077393
21197,Nifty 50,19286.45,19347.3,19074.15,19122.15,-159.6,-.83,225291741,19818.32,20.92,3.36,1.48,2023-10-25,-0.83,0.6889,5.724735801764044,7.316638572459349,6.717562057770687,9.843757947365209,8.614556049629222,8.469993086522447
21304,Nifty 50,19027.25,19041.7,18837.85,18857.25,-264.9,-1.39,300356469,28939.64,20.63,3.31,1.51,2023-10-26,-1.39,1.9320999999999997,6.285984409780141,4.919390206112937,8.282630017090007,10.78211325834548,9.044814808234289,8.731758032145828
21411,Nifty 50,18928.75,19076.15,18926.65,19047.25,190.0,1.01,205201044,19947.48,20.84,3.34,1.42,2023-10-27,1.01,1.0201,26.93993318477236,19.932044551425225,15.571832262132812,11.518337462270186,9.226188059090001,8.837555506064382
21518,Nifty 50,19053.4,19158.5,18940,19140.9,93.65,.49,180132492,17095.73,20.9,3.36,1.41,2023-10-30,0.49,0.24009999999999998,5.83698552336727,20.042993788354078,17.44044265493282,11.330182885131476,9.294108139122063,8.821599521350752
21625,Nifty 50,19232.95,19233.7,19056.45,19079.6,-61.3,-.32,206049341,19397.36,20.45,3.35,1.41,2023-10-31,-0.32,0.1024,9.092227449860625,10.639868420239047,15.405798908203368,11.054388649810198,9.076376769076818,8.835918674120968
21732,Nifty 50,19064.05,19096.05,18973.7,18989.15,-90.45,-.47,194103279,18452.51,20.4,3.33,1.41,2023-11-01,-0.47,0.22089999999999999,1.683745824047959,8.198072944296118,14.685249742513745,11.013956122741915,9.00369483478678,8.850923390851687
21839,Nifty 50,19120,19175.25,19064.15,19133.25,144.1,.76,245595109,19771.49,20.77,3.36,1.42,2023-11-02,0.76,0.5776,13.806715757195809,10.652492666038311,10.436568401538885,11.3828867395892,9.025371695242704,8.91527700280239
21946,Nifty 50,19241,19276.25,19210.9,19230.6,97.35,.51,189516123,17304.87,20.88,3.37,1.43,2023-11-03,0.51,0.2601,2.8062430400803065,10.32005813937112,8.741507879078984,11.34707381709162,9.048585918177718,8.83124923038303
22053,Nifty 50,19345.85,19423,19309.7,19411.75,181.15,.94,180690631,16296.56,20.96,3.41,1.42,2023-11-06,0.94,0.8835999999999999,4.8267380289382995,3.4280606762425005,10.168734434530185,11.712816057635322,9.26145236990398,8.904390151491281
22160,Nifty 50,19404.05,19423.5,19329.1,19406.7,-5.05,-.03,198660124,18288.06,20.92,3.41,1.42,2023-11-07,-0.03,0.0009,10.888222995512129,7.715620519439777,9.250494040860731,11.450676284325782,9.235522798192436,8.90207387069624
22267,Nifty 50,19449.6,19464.4,19401.5,19443.5,36.8,.19,194967997,17060.45,20.97,3.41,1.42,2023-11-08,0.19,0.0361,2.4694938752706053,8.073140652806694,6.324552158058295,10.944094874935011,9.19875037570736,8.862394834458392
22374,Nifty 50,19457.4,19463.9,19378.35,19395.3,-48.2,-.25,208418472,19087.29,20.91,3.4,1.41,2023-11-09,-0.25,0.0625,4.938987750541503,3.492391730605263,7.417320270825571,10.656970883935664,9.132946486508269,8.862394834458392
22481,Nifty 50,19351.85,19451.3,19329.45,19425.35,30.05,.15,152215785,12916.21,20.95,3.41,1.4,2023-11-10,0.15,0.0225,4.489988864128619,3.862434465463464,7.12409994315071,10.695581625876608,9.13804264543729,8.858338574581479
22588,Nifty 50,19486.75,19494.4,19414.75,19443.55,-82.0,-.42,189275733,13527.22,20.96,3.41,1.4,2023-11-13,-0.42,0.17639999999999997,6.39823413138336,4.645384806450376,4.143216142080938,10.75037590530038,9.171957094816383,8.87584358804838
22695,Nifty 50,19651.4,19693.2,19579.65,19675.45,231.9,1.19,291464988,24957.24,21.05,3.45,1.33,2023-11-15,1.19,1.4161,18.07220517811811,12.959212939063857,9.931658471775998,11.690081625936257,9.43369063426668,9.04564815581498
22802,Nifty 50,19674.7,19875.25,19627,19765.2,89.75,.46,282686669,26041.45,21.13,3.47,1.34,2023-11-16,0.46,0.2116,8.194229677034883,12.797452871567847,10.1451643653516,11.721862973902535,9.45544325341991,9.016187527512724
22909,Nifty 50,19674.75,19806,19667.45,19731.8,-33.4,-.17,236827462,21681.28,21.1,3.46,1.34,2023-11-17,-0.17,0.028900000000000006,7.071732461002682,10.804387997475848,9.92213888231766,11.463930987414848,9.427259267047642,8.985169883286916
23016,Nifty 50,19731.15,19756.45,19670.5,19694.0,-37.8,-.19,173780543,16737.05,21.06,3.46,1.35,2023-11-20,-0.19,0.0361,0.22449944320414164,5.86784457871884,10.402709262495033,11.451935851062121,9.437176233081447,8.968793068612387
23123,Nifty 50,19770.9,19829.1,19754.05,19783.4,89.4,.45,194969012,17947.2,21.14,3.47,1.38,2023-11-21,0.45,0.2025,7.1839821826059005,5.776227142348201,9.013869313452457,11.451683948797996,9.467045267753553,8.985997781554834
23230,Nifty 50,19784,19825.55,19703.85,19811.85,28.45,.14,184497984,17405.48,21.17,3.47,1.38,2023-11-22,0.14,0.019600000000000003,3.4797413696996293,5.080669247254744,5.041749696286,10.231350582246797,9.447673913344033,8.945219303646235
23337,Nifty 50,19828.45,19875.15,19786.75,19802.0,-9.85,-.05,170024085,15906.94,21.16,3.47,1.38,2023-11-23,-0.05,0.0025000000000000005,2.132744710460912,4.006544645951182,4.22333517495356,9.637250099156084,9.352341336509072,8.943013715293441
23444,Nifty 50,19809.6,19832.85,19768.85,19794.7,-7.3,-.04,145895044,14389.29,21.15,3.47,1.38,2023-11-24,-0.04,0.0016,0.11224972159867061,1.6974097914175201,3.9133157296594407,7.790499274588771,9.346716562968762,8.922519397214073
23551,Nifty 50,19844.65,19916.85,19800,19889.7,95.0,.48,229595031,23043.25,21.26,3.49,1.37,2023-11-28,0.48,0.2304,5.836985523367265,4.812359088846144,4.08224937993748,7.286254398378804,9.38624595993196,8.884558913600666
23658,Nifty 50,19976.55,20104.65,19956.3,20096.6,206.9,1.04,236241768,22367.64,21.48,3.52,1.36,2023-11-29,1.04,1.0816000000000001,6.285984409780155,8.574193839656305,7.286381818159126,7.8270847567579995,9.607814457204503,8.987447910834215
23765,Nifty 50,20108.5,20158.7,20015.85,20133.15,36.55,.18,486585349,48877.95,21.52,3.53,1.35,2023-11-30,0.18,0.0324,9.653476057876725,6.929242382829464,7.23153095824113,7.567763557561615,9.545705201639647,8.979869597140672
23872,Nifty 50,20194.1,20291.55,20183.7,20267.9,134.75,.67,265812566,22461.53,21.66,3.55,1.34,2023-12-01,0.67,0.4489000000000001,5.5002363585576095,6.848153035673206,6.6839030513615185,7.215938280165485,9.455791445691197,9.024750088606416
23979,Nifty 50,20601.95,20702.65,20507.75,20686.8,418.9,2.07,381107418,33917.52,22.11,3.63,1.32,2023-12-04,2.07,4.2848999999999995,15.71496102445053,15.57024084592143,11.598932709521147,9.468896895681796,10.281412535678822,9.48821923862781
24086,Nifty 50,20808.9,20864.05,20711.15,20855.1,168.3,.81,421008350,41763.52,22.29,3.66,1.31,2023-12-05,0.81,0.6561000000000001,14.143464922005471,12.240196076860865,11.09320332455867,9.588531966008018,10.383145011940416,9.499456185655365
24193,Nifty 50,20950.75,20961.95,20852.15,20937.7,82.6,.4,359212958,35654.76,22.38,3.67,1.3,2023-12-06,0.4,0.16000000000000003,4.602238585731849,13.81568673646012,11.694783452462879,9.35985424987735,10.400340607199496,9.51028770385918
24300,Nifty 50,20932.4,20941.25,20850.8,20901.15,-36.55,-.17,274985308,24862.43,22.34,3.67,1.3,2023-12-07,-0.17,0.028900000000000006,6.398234131383357,7.812989184684696,13.093149353765106,9.448803433016753,10.364489636433088,9.477385562357442
24407,Nifty 50,20934.1,21006.1,20862.7,20969.4,68.25,.33,292440768,27449.96,22.41,3.68,1.3,2023-12-08,0.33,0.10890000000000001,5.612486080160816,4.934734035386303,13.451432637455376,9.431001956035029,10.34646390097783,9.41922902344791
24514,Nifty 50,20965.3,21026.1,20923.7,20997.1,27.7,.13,212921451,21150.17,22.44,3.68,1.3,2023-12-11,0.13,0.016900000000000002,2.2449944320641344,3.994996871087633,5.728036312734045,9.201897515987481,10.210770385451179,9.281412693370223
24621,Nifty 50,21018.55,21037.9,20867.15,20906.4,-90.7,-.43,244867128,25404.64,22.34,3.67,1.33,2023-12-12,-0.43,0.18489999999999998,6.285984409780132,6.253830825981781,5.533808814912198,9.609603091644685,10.261338846137685,9.264060228103276
24728,Nifty 50,20929.75,20950,20769.5,20926.35,19.95,.1,260269318,25918.44,22.36,3.67,1.32,2023-12-13,0.1,0.010000000000000002,5.949235244970471,5.000679953766284,4.690910359407859,9.231096188541477,10.240903280472873,9.25490279733703
24835,Nifty 50,21110.4,21210.9,21074.45,21182.7,256.35,1.23,334410589,32593.42,22.63,3.71,1.31,2023-12-14,1.23,1.5129,12.684218541163625,13.459673101528136,9.60269962041924,9.27918961978899,10.51550583903825,9.421002772760993
24942,Nifty 50,21287.45,21492.3,21235.3,21456.65,273.95,1.29,508761756,50114.46,22.92,3.76,1.29,2023-12-15,1.29,1.6641000000000001,0.6734983296187127,10.642236607029565,12.069637939888661,9.834682613346649,10.780626550138884,9.576606824195144
25049,Nifty 50,21434.8,21482.8,21365.35,21418.65,-38.0,-.18,249668965,23615.28,22.88,3.76,1.29,2023-12-18,-0.18,0.0324,16.500709075673054,13.206407535738101,12.789278322094638,9.842612618501983,10.766217030718934,9.47874222291335
25156,Nifty 50,21477.65,21505.05,21337.75,21453.1,34.45,.16,249750062,23750.61,22.92,3.76,1.29,2023-12-19,0.16,0.0256,3.816490534509286,12.216497042933382,10.920576907837779,9.63442495484427,10.448537956275455,9.479228249537988
25263,Nifty 50,21543.5,21593,21087.35,21150.15,-302.95,-1.41,363886229,30993.12,22.6,3.71,1.31,2023-12-20,-1.41,1.9880999999999998,17.62320629170523,13.11193349586551,17.722450169206287,11.638341580175496,10.74798547935411,9.732537245464922
25370,Nifty 50,21033.95,21288.35,20976.8,21255.05,104.9,.5,277548079,26001.02,22.71,3.73,1.3,2023-12-21,0.5,0.25,21.439696826214657,16.174090391734552,15.743558682839149,11.627464628379236,10.736295734642137,9.738616096220136
25478,Nifty 50,21295.85,21390.5,21232.45,21349.4,94.35,.44,284708918,27709.29,22.81,3.74,1.3,2023-12-22,0.44,0.1936,0.6734983296187201,17.237064715316237,12.402654554570164,11.53050507863471,10.752795521417848,9.75326601357769
25586,Nifty 50,21365.2,21477.15,21329.45,21441.35,91.95,.43,219467748,20081.33,22.91,3.76,1.29,2023-12-26,0.43,0.18489999999999998,0.11224972159962535,0.6009991680527854,12.89485013484065,11.423641828750528,10.76359438420998,9.709759718696905
25694,Nifty 50,21497.65,21675.75,21495.8,21654.75,213.4,1,256542963,23059.25,23.14,3.8,1.28,2023-12-27,1.0,1.0,6.398234131383385,5.178918806083001,14.704884902643744,11.617308185362218,10.905517123401971,9.756889916910456
25802,Nifty 50,21715,21801.45,21678,21778.7,123.95,.57,393080755,35031,23.27,3.82,1.27,2023-12-28,0.57,0.32489999999999997,4.8267380289383155,4.715379093985995,3.762291854707676,11.407622936117379,10.680039849478124,9.783489786045743
25910,Nifty 50,21737.65,21770.3,21676.9,21731.4,-47.3,-.22,270922276,23697.88,23.17,3.81,1.28,2023-12-29,-0.22,0.0484,8.867728006654193,9.822973073362267,6.947341937748551,11.599475850227014,10.674774573891003,9.780918406301405
