,Index,Open Index Value,High Index Value,Low Index Value,Close,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield,TIMESTAMP,rt,rt2,sigma2,sigma3,sigma5,sigma20,sigma60,sigma110
16810,Nifty 50,19535.15,19584.45,19369,19386.7,-57.3,-.29,268256859,24338.24,22.12,4.47,1.37,2023-08-24,-0.29,0.0841,6.061484966573715,4.294927240361605,5.064440739114248,7.436107640567419,8.117879325646738,8.329956847681556
16917,Nifty 50,19297.4,19339.55,19229.7,19265.8,-120.9,-.62,466518217,24998.12,21.98,4.44,1.38,2023-08-25,-0.62,0.3844,3.704240812906093,6.972144576814233,6.670694116806742,7.454331697250362,8.148235100574684,8.365316553137433
17024,Nifty 50,19298.35,19366.85,19249.7,19306.05,40.25,.21,248178769,18237.22,22.03,4.43,1.38,2023-08-28,0.21,0.04409999999999999,9.31672689306707,6.633822427530006,5.813625374927428,7.5346064752475295,8.12642425587298,8.366284924397256
17131,Nifty 50,19374.85,19377.9,19309.1,19342.65,36.6,.19,307388116,22501.12,22.07,4.42,1.38,2023-08-29,0.19,0.0361,0.22449944320456844,7.517100504848937,6.136272484171483,7.234593212293854,8.121808244014533,8.3245915888369
17238,Nifty 50,19433.45,19452.8,19334.75,19347.45,4.8,.02,233004568,19877.49,22.07,4.42,1.38,2023-08-30,0.02,0.0004,1.908245267254492,1.6573472780320235,5.618544295455904,7.247780930812722,8.106121541198233,8.243755899230948
17345,Nifty 50,19375.55,19388.2,19223.65,19253.8,-93.65,-.48,562557215,45699.54,21.97,4.4,1.38,2023-08-31,-0.48,0.2304,5.61248608016084,5.528797337577145,6.163112849851127,6.497284696013598,8.183391945203015,8.245410363350631
17452,Nifty 50,19258.15,19458.55,19255.7,19435.3,181.5,.94,372502191,25962.38,22.17,4.44,1.37,2023-09-01,0.94,0.8835999999999999,15.939460467656964,11.434054399031,8.093352828092945,6.917519862828834,8.284298073842542,8.337798558612658
17559,Nifty 50,19525.05,19545.15,19432.85,19528.8,93.5,.48,396071122,24822.79,22.28,4.46,1.36,2023-09-04,0.48,0.2304,5.163487193747954,11.501443387679661,8.386489134315983,6.668382349407884,8.245657902028691,8.312249413281007
17666,Nifty 50,19564.65,19587.05,19525.75,19574.9,46.1,.24,303958622,24029.89,22.33,4.46,1.36,2023-09-05,0.24,0.0576,2.693993318477073,5.646804406033577,8.378973684169203,6.557657476488632,8.195619975307608,8.200886265903735
17773,Nifty 50,19581.2,19636.45,19491.5,19611.05,36.15,.18,512974083,32500.52,22.37,4.43,1.36,2023-09-06,0.18,0.0324,0.6734983296186501,2.520000000000037,8.189153802438932,6.570967484641086,8.193982082777664,8.199585267894419
17880,Nifty 50,19598.65,19737,19550.05,19727.05,116.0,.59,304929822,23591,22.28,4.41,1.36,2023-09-07,0.59,0.34809999999999997,4.60223858573185,3.515167136851417,4.8353448687761675,6.804826460527455,8.185920757255586,8.212625768799438
17987,Nifty 50,19774.8,19867.15,19728.05,19819.95,92.9,.47,288093693,23530.84,22.39,4.43,1.36,2023-09-08,0.47,0.22089999999999999,1.3469966592382854,3.3462217499741707,2.761890656778437,6.725972674717948,8.219540813600279,8.173647818786577
18094,Nifty 50,19890,20008.15,19865.35,19996.35,176.4,.89,248763130,21924.34,22.59,4.46,1.35,2023-09-11,0.89,0.7921,4.7144883073350705,3.434181125101039,4.543826581197837,6.8460174362063935,8.32330068165798,7.934465275997702
18201,Nifty 50,20110.15,20110.35,19914.65,19993.2,-3.15,-.02,328064239,30110.8,22.58,4.44,1.35,2023-09-12,-0.02,0.0004,10.214724665892817,7.230020746858214,5.631983664749041,6.859492999524541,8.224564611628237,7.936531140163332
18308,Nifty 50,19989.5,20096.9,19944.1,20070.0,76.8,.38,251394599,24332.36,22.67,4.46,1.34,2023-09-13,0.38,0.1444,4.489988864128632,7.240469598030241,5.257075232484316,6.910983477883506,8.184250915682357,7.856001185645107
18415,Nifty 50,20127.95,20167.65,20043.45,20103.1,33.1,.16,275111881,21902.65,22.71,4.47,1.34,2023-09-14,0.16,0.0256,2.469493875270623,3.180188673648179,5.479120367358252,6.451108839816434,8.172538970255147,7.854194584879316
18522,Nifty 50,20156.45,20222.45,20129.7,20192.35,89.25,.44,438185104,42681.35,22.81,4.47,1.33,2023-09-15,0.44,0.1936,3.1429922048899708,2.340256396209652,5.450761414701623,6.262578332318159,8.197912735589409,7.868815803651342
18629,Nifty 50,20155.95,20195.35,20115.7,20133.3,-59.05,-.29,264870758,21135.95,22.74,4.46,1.34,2023-09-18,-0.29,0.0841,8.19422967703488,5.846332183514733,4.751227209890102,6.465894735985264,8.157228654514592,7.865511765259852
18736,Nifty 50,19980.75,20050.65,19878.85,19901.4,-231.9,-1.15,378065882,37351.58,22.48,4.41,1.35,2023-09-20,-1.15,1.3224999999999998,9.653476057876725,12.634286683465755,10.433428966547869,8.01399545532031,8.451056698545688,8.072767361778597
18843,Nifty 50,19840.55,19848.75,19709.95,19742.35,-159.05,-.8,275132260,26711.83,22.3,4.37,1.36,2023-09-21,-0.8,0.6400000000000001,3.9287402561125284,6.86530407192573,10.433428966547872,8.646350736156348,8.65316135039283,8.187609646681908
18950,Nifty 50,19744.85,19798.65,19657.5,19674.25,-68.1,-.34,246410075,24137.57,22.22,4.36,1.37,2023-09-22,-0.34,0.11560000000000002,5.163487193747958,6.448906884116099,9.524307848867561,8.67626872263465,8.609838361442655,8.12919579377595
19057,Nifty 50,19678.2,19734.15,19601.55,19674.55,0.3,0,188398392,20194.48,22.22,4.36,1.37,2023-09-25,0.0,0.0,3.816490534509311,6.3735704279469685,7.235189009279593,8.2884927840699,8.46991917596961,8.11224506738801
