,S,K,T,GRU_price
466,19435.3,21050.0,6.0,2.43
467,19386.7,20600.0,7.0,2.43
468,19265.8,21200.0,34.0,2.43
469,19680.6,20300.0,37.0,73.82
470,18755.9,19400.0,22.0,9.97
471,19901.4,20850.0,1.0,2.43
472,20133.3,21650.0,10.0,2.43
473,20133.3,18400.0,10.0,1731.21
474,21441.35,21200.0,16.0,410.62
475,21731.4,20450.0,27.0,1411.49
476,19395.3,21000.0,0.0,2.43
477,20133.15,19050.0,7.0,1065.79
478,21731.4,21050.0,13.0,756.83
479,19443.5,20700.0,8.0,2.43
480,19749.25,19550.0,2.0,189.75
481,19611.05,20550.0,8.0,2.43
482,20937.7,21700.0,15.0,6.5
483,19611.05,18300.0,1.0,1218.93
484,19189.05,18950.0,13.0,271.49
485,19545.75,19800.0,14.0,54.87
486,19425.35,18700.0,48.0,879.53
487,18972.1,18500.0,183.0,1238.86
488,19517.0,19000.0,83.0,903.72
489,19122.15,17800.0,36.0,1396.47
490,20686.8,21000.0,24.0,109.29
491,21418.65,20350.0,17.0,1138.31
492,19443.55,19600.0,31.0,162.4
493,19993.2,20150.0,9.0,65.15
494,19778.3,19200.0,36.0,707.68
495,20906.4,21450.0,30.0,93.18
496,19443.5,19450.0,8.0,94.56
497,18688.1,18200.0,0.0,428.22
498,20855.1,20750.0,23.0,336.99
499,18989.15,20000.0,1.0,2.43
500,19425.35,18500.0,6.0,860.08
501,19528.75,19550.0,58.0,392.15
502,20855.1,22200.0,16.0,2.43
503,21456.65,22100.0,13.0,29.52
504,19901.4,17000.0,99.0,3348.88
505,20103.1,19500.0,77.0,931.47
506,19523.55,21550.0,0.0,2.43
507,19047.25,21300.0,34.0,2.43
508,21778.7,21950.0,21.0,211.67
509,19444.0,18500.0,22.0,937.61
510,19465.0,19300.0,29.0,319.85
511,19671.1,21000.0,253.0,551.46
512,20133.15,20600.0,35.0,96.59
513,19675.45,19000.0,71.0,986.2
514,19306.05,16800.0,3.0,2525.04
515,19543.1,19600.0,77.0,479.88
516,19733.55,21400.0,2.0,2.43
517,19749.25,19600.0,2.0,160.34
518,21456.65,21950.0,34.0,128.57
519,19398.5,19350.0,22.0,219.01
520,19526.55,20900.0,8.0,2.43
521,19674.25,22000.0,188.00000000000003,129.18
522,19528.75,21000.0,9.0,2.43
523,19425.35,19450.0,27.0,204.91
524,18826.0,16900.0,13.0,1954.02
525,19819.95,21000.0,111.0,134.92
526,19570.85,20400.0,23.0,2.43
527,18665.5,19450.0,13.0,2.43
528,19281.75,20550.0,38.0,2.43
529,21778.7,22550.0,28.0,67.78
530,19122.15,21300.0,36.0,2.43
531,19265.8,22000.0,34.0,2.43
532,19783.4,20800.0,37.0,2.43
533,18665.5,18500.0,13.0,237.82
534,19497.3,21000.0,539.0,1216.77
535,20855.1,21100.0,16.0,98.35
536,21255.05,22150.0,70.0,171.1
537,19230.6,18800.0,20.0,457.81
538,20901.15,21300.0,28.0,119.82
539,20926.35,21550.0,22.0,46.6
540,21456.65,20600.0,6.0,860.19
541,19574.9,20900.0,30.0,2.43
542,19811.35,21500.0,1.0,2.43
543,19819.95,18600.0,20.0,1219.64
544,19523.55,21150.0,0.0,2.43
545,19574.9,20800.0,9.0,2.43
546,21441.35,21450.0,37.0,413.29
547,19230.6,21100.0,13.0,2.43
548,19523.55,19150.0,7.0,359.08
549,19570.85,21100.0,9.0,2.43
550,19674.25,19400.0,34.0,442.23
551,19443.55,21000.0,24.0,2.43
552,19365.25,21000.0,0.0,2.43
553,19411.75,20100.0,80.0,143.94
554,18755.45,18950.0,24.0,113.43
555,18755.45,19500.0,38.0,43.47
556,19542.65,21050.0,6.0,2.43
557,21349.4,21350.0,20.0,298.15
558,19322.55,19900.0,24.0,23.63
559,19047.25,18700.0,6.0,334.75
560,19646.05,20900.0,6.0,2.43
561,19230.6,19450.0,55.00000000000001,246.94
562,19611.05,19800.0,29.0,128.03
563,21150.15,21650.0,15.0,82.96
564,19428.3,19200.0,48.0,496.33
565,19597.3,19400.0,52.0,497.95
566,20192.35,19200.0,40.99999999999999,1104.35
567,19386.7,18900.0,0.0,401.69
568,21255.05,22000.0,280.0,1102.26
569,19672.35,21400.0,3.0,2.43
570,19355.9,20100.0,52.0,80.32
571,19597.3,19200.0,52.0,648.11
572,19542.65,19550.0,27.0,215.3
573,19742.35,21200.0,14.0,2.43
574,19389.0,19400.0,30.0,230.83
575,21456.65,21400.0,76.0,669.33
576,19281.75,21050.0,17.0,2.43
577,19671.1,18700.0,1.0,936.45
578,19528.8,21000.0,479.0,1055.58
579,19347.45,19000.0,29.0,448.72
580,20997.1,21950.0,44.99999999999999,71.89
581,20937.7,24000.0,113.0,2.47
582,19428.3,24000.0,48.0,2.43
583,19434.55,18700.0,17.0,711.6
584,19694.0,21100.0,3.0,2.43
585,19794.7,21200.0,34.0,2.43
586,19079.6,18150.0,30.0,975.02
587,19523.55,23000.0,182.0,2.52
588,19406.7,19200.0,9.0,228.83
589,19465.0,21150.0,1.0,2.43
590,19794.0,19200.0,77.0,932.39
591,19355.9,19300.0,24.0,244.96
592,21255.05,19400.0,0.0,1832.69
593,21441.35,21700.0,30.0,225.44
594,21456.65,19400.0,13.0,2105.21
595,21349.4,26000.0,370.0,220.94
596,19381.65,18100.0,28.0,1329.08
597,19753.8,20550.0,3.0,2.43
598,19672.35,19450.0,38.0,459.94
599,18817.4,16000.0,184.0,3360.41
600,19674.55,18000.0,3.0,1641.06
601,19765.2,19350.0,0.0,357.28
602,19386.7,20000.0,63.00000000000001,117.73
603,19395.3,19650.0,7.0,29.3
604,21453.1,21600.0,23.0,227.61
605,19444.0,17700.0,8.0,1689.06
606,19778.3,17900.0,15.0,1894.89
607,19396.45,20950.0,2.0,2.43
608,21418.65,21500.0,31.0,330.05
609,20997.1,20500.0,80.0,974.28
610,19528.8,21250.0,52.0,2.43
611,21778.7,19900.0,28.0,1986.17
612,19133.25,20050.0,0.0,2.43
613,19545.75,21000.0,56.0,2.43
614,19528.8,19150.0,52.0,613.1
615,19749.25,19650.0,23.0,269.7
616,18856.85,15000.0,190.0,4395.89
617,19322.55,19700.0,3.0,2.43
618,19393.6,21150.0,3.0,2.43
619,19564.5,19350.0,6.0,210.6
620,19395.3,20150.0,48.99999999999999,64.99
621,21255.05,21200.0,70.0,640.37
622,19230.6,19500.0,20.0,62.38
623,19281.75,23000.0,157.0,2.46
624,19133.25,19600.0,0.0,2.43
625,21456.65,19000.0,195.0,3241.7
626,19347.45,19100.0,29.0,370.03
627,19347.45,20900.0,22.0,2.43
628,19435.3,20900.0,34.0,2.43
629,19331.8,19150.0,83.0,674.68
630,19996.35,19900.0,17.0,219.42
631,19355.9,19350.0,17.0,175.72
632,19497.3,17100.0,0.0,2320.55
633,19833.15,19650.0,1.0,164.24
634,19765.2,19150.0,7.0,560.5
635,19047.25,20000.0,153.0,326.92
636,19674.55,18550.0,3.0,1071.07
637,19674.25,19300.0,6.0,341.07
638,19398.5,19450.0,1.0,49.7
639,19689.85,21000.0,170.0,256.41
640,19079.6,19450.0,16.0,41.9
641,21456.65,20000.0,104.0,1955.58
642,19794.0,18900.0,48.99999999999999,1051.76
643,19425.35,17900.0,20.0,1516.87
644,21456.65,26000.0,104.0,2.43
645,19523.55,19700.0,28.0,143.0
646,19413.75,20300.0,14.0,2.43
647,19632.55,21400.0,22.0,2.43
648,19047.25,20750.0,62.0,2.43
649,19765.2,15000.0,133.0,5188.19
650,18688.1,19800.0,7.0,2.43
651,19122.15,19950.0,36.0,12.67
652,19638.3,20650.0,27.0,2.43
653,20686.8,21150.0,10.0,38.03
654,19765.2,20100.0,28.0,90.81
655,19253.8,18100.0,0.0,1090.57
656,21731.4,22000.0,62.0,454.47
657,18716.15,19150.0,16.0,29.77
658,19689.85,19700.0,16.0,159.23
659,19783.4,20950.0,2.0,2.43
660,19396.45,19500.0,9.0,65.09
661,19833.15,21000.0,22.0,2.43
662,19979.15,20500.0,21.0,32.94
663,19901.4,21050.0,8.0,2.43
664,20937.7,20700.0,22.0,418.84
665,19512.35,20600.0,3.0,2.43
666,18972.1,18650.0,8.0,313.84
667,18826.0,17200.0,40.99999999999999,1749.31
668,19570.85,20000.0,9.0,14.41
669,19646.05,15000.0,153.0,5109.37
670,19794.0,21000.0,28.0,2.43
671,19528.8,18200.0,24.0,1344.4
672,19901.4,23000.0,463.0,468.8
673,19675.45,21050.0,15.0,2.43
674,19528.75,21000.0,23.0,2.43
675,18857.25,18900.0,21.0,162.27
676,19765.2,18900.0,14.0,853.26
677,19526.55,23000.0,56.99999999999999,2.43
678,19526.55,18300.0,8.0,1179.43
679,18972.1,20350.0,0.0,2.43
680,19523.55,19850.0,0.0,9.22
